,Player_URL,Name,Date_of_Birth,City_of_Birth,Country_of_Birth,Citizenship,Height,Foot,Agent,Outfitter,Main_Position,Other_Position,Youth_Club,Avg Temp
701,https://www.transfermarkt.com/george-saville/profil/spieler/141573,George Saville,01/06/1993,Camberley,England,"['Northern Ireland', 'England']",176,left,Refuel Performance Management,,Central Midfield,"['Defensive Midfield', 'Left Midfield']","['Reading FC (-2004)', ' Chelsea FC (2004-2012)']",#N/A
702,https://www.transfermarkt.com/victor-moses/profil/spieler/59866,Victor Moses,12/12/1990,Kaduna,Nigeria,"['Nigeria', 'England']",177,right,Wasserman,Nike,Right Midfield,"['Right Winger', 'Left Winger']",['Crystal Palace FC (2001–2007)'],#N/A
703,https://www.transfermarkt.com/oscar/profil/spieler/85314,Oscar,09/09/1991,Americana,Brazil,"['Brazil', 'Italy']",179,right,Bertolucci Sports,adidas,Attacking Midfield,"['Left Winger', 'Central Midfield']",['União Barbarense (1998–2004)\r\nSão Paulo FC (2004–2008)'],#N/A
704,https://www.transfermarkt.com/marko-marin/profil/spieler/35251,Marko Marin,13/03/1989,Bosanska Gradiska,Jugoslawien (SFR),"['Germany', 'Serbia']",170,right,LIAN Sports Group,,Attacking Midfield,"['Left Winger', 'Right Winger']","['SG 01 Hoechst (-1996)', ' Eintracht Frankfurt (1996-2005)']",#N/A
705,https://www.transfermarkt.com/lucas-piazon/profil/spieler/176485,Lucas Piazon,20/01/1994,São Paulo,Brazil,"['Brazil', 'Italy']",182,right,P&P Sport Management S.A.M.,Nike,Attacking Midfield,"['Right Winger', 'Left Winger']",,#N/A
706,https://www.transfermarkt.com/florent-malouda/profil/spieler/5461,Florent Malouda,13/06/1980,Cayenne,French Guiana,"['French Guiana', 'France']",177,left,no agent,,Left Winger,"['Attacking Midfield', 'Left Midfield']","['ASC Remiré', ' LB Châteauroux (-1996)']",#N/A
707,https://www.transfermarkt.com/yossi-benayoun/profil/spieler/7858,Yossi Benayoun,05/05/1980,Dimona,Israel,['Israel'],175,right,A.B SOCCER LTD,,Right Winger,"['Left Winger', 'Attacking Midfield']","['Hapoel Dimona (1989–1992)', "" Hapoel Be'er Sheva (1992–1995)"", ' Ajax (1995–12/1996)']",#N/A
708,https://www.transfermarkt.com/fernando-torres/profil/spieler/7767,Fernando Torres,20/03/1984,Fuenlabrada (Madrid),Spain,['Spain'],186,right,Bahía Internacional,Mizuno,Centre-Forward,,"['Parque 84 (1989-1994)', ' Rayo 13 (1994-1995)']",#N/A
709,https://www.transfermarkt.com/demba-ba/profil/spieler/40205,Demba Ba,25/05/1985,Sèvres,France,"['Senegal', 'France']",189,right,,,Centre-Forward,"['Left Winger', 'Right Winger']","['Port Autonome (1999-2000)', ' Frileuse (2000-2001)', ' SM Montrouge (2001-2004)']",#N/A
710,https://www.transfermarkt.com/daniel-sturridge/profil/spieler/47082,Daniel Sturridge,01/09/1989,Birmingham,England,['England'],182,left,Sturridge Sports Management,,Centre-Forward,"['Right Winger', 'Second Striker']","['Cadbury Athletic (1995-1996)', ' Aston Villa (1996-2000)', ' Coventry City (2000-2003)', ' Manchester City (2003-2008)']",#N/A
711,https://www.transfermarkt.com/mark-schwarzer/profil/spieler/3357,Mark Schwarzer,06/10/1972,Sydney,Australia,"['Australia', 'Germany']",,,,,Goalkeeper,,"['Colo Cougars', ' Penrith Nepean United', ' Blacktown City Demons', ' Marconi Stallions']",#N/A
712,https://www.transfermarkt.com/matej-delac/profil/spieler/60220,Matej Delac,20/08/1992,Gornji Vakuf-Uskoplje,Bosnia-Herzegovina,['Croatia'],190,right,People In Sport,,Goalkeeper,,['NK Inter Zaprešić'],#N/A
